categoria,categoriaURL,comentarios,dtPostagem,titulo,url,visualizacoes
DEVELOPMENT,https://www.igti.com.br/blog/category/development/,,13 de junho de 2018,O que faz um Desenvolvedor Full Stack?,https://www.igti.com.br/blog/o-que-faz-um-desenvolvedor-full-stack/,47.670 visualizações
DATA SCIENCE,https://www.igti.com.br/blog/category/data-science/,,12 de abril de 2017,Cientista de Dados: o novo profissional que o mercado procura,https://www.igti.com.br/blog/carreira-ti-big-data/,34.838 visualizações
DEVELOPMENT,https://www.igti.com.br/blog/category/development/,,22 de novembro de 2017,5 motivos para você aprender SQL,https://www.igti.com.br/blog/5-motivos-para-voce-aprender-sql/,30.466 visualizações
INTELIGÊNCIA ARTIFICIAL,https://www.igti.com.br/blog/category/inteligencia-artificial/,,10 de julho de 2017,"A carreira dos profissionais de Ciência de Dados, Engenharia de Dados e Machine Learning",https://www.igti.com.br/blog/carreira-big-data-engenharia-dados-machine-learning/,28.407 visualizações
DATA ANALYTICS,https://www.igti.com.br/blog/category/data-analytics/,,4 de maio de 2017,A carreira de um Analista de Business Intelligence,https://www.igti.com.br/blog/carreira-inteligencia-negocios/,27.982 visualizações
"GESTÃO EM TI,Webinar,","https://www.igti.com.br/blog/category/gestao-em-ti/, https://www.igti.com.br/blog/category/webinar/, ",,2 semanas atrás,"Governança, segurança e LGPD: concorrentes ou aliados?!",https://www.igti.com.br/blog/governanca-seguranca-e-lgpd-concorrentes-ou-aliados/,121 visualizações
"INTELIGÊNCIA ARTIFICIAL,Webinar,","https://www.igti.com.br/blog/category/inteligencia-artificial/, https://www.igti.com.br/blog/category/webinar/, ",,3 semanas atrás,Tecnologias imersivas: Games e Mercado,https://www.igti.com.br/blog/tecnologias-imersivas-games-e-mercado/,50 visualizações
GESTÃO EM TI,https://www.igti.com.br/blog/category/gestao-em-ti/,,4 semanas atrás,"Fintech, Pix e Open Banking: O sistema financeiro em transformação",https://www.igti.com.br/blog/fintech-pix-e-open-banking-o-sistema-financeiro-em-transformacao/,34 visualizações
"BLOCKCHAIN,Webinar,","https://www.igti.com.br/blog/category/blockchain/, https://www.igti.com.br/blog/category/webinar/, ",,1 mês atrás,Blockchain: além do bitcoin,https://www.igti.com.br/blog/blockchain-alem-do-bitcoin/,62 visualizações
"CIBERSEGURANÇA,CLOUD COMPUTING,Cyber & Cloud Experience,","https://www.igti.com.br/blog/category/ciberseguranca/, https://www.igti.com.br/blog/category/cloud-computing/, https://www.igti.com.br/blog/category/cyber-cloud-experience/, ",,1 mês atrás,IGTI promove imersão gratuita do mercado de computação em Nuvem e cibersegurança,https://www.igti.com.br/blog/igti-promove-imersao-gratuita-do-mercado-de-computacao-em-nuvem-e-ciberseguranca/,214 visualizações
"CIBERSEGURANÇA,Cyber & Cloud Experience,","https://www.igti.com.br/blog/category/ciberseguranca/, https://www.igti.com.br/blog/category/cyber-cloud-experience/, ",,1 mês atrás,Crimes Cibernéticos: O que fazer?,https://www.igti.com.br/blog/crimes-ciberneticos-o-que-fazer/,73 visualizações
"CLOUD COMPUTING,Webinar,","https://www.igti.com.br/blog/category/cloud-computing/, https://www.igti.com.br/blog/category/webinar/, ",,1 mês atrás,"Cloud: “Ir ou não ir”, eis a questão???",https://www.igti.com.br/blog/cloud-ir-ou-nao-ir-eis-a-questao/,52 visualizações
"CIBERSEGURANÇA,CLOUD COMPUTING,Cyber & Cloud Experience,","https://www.igti.com.br/blog/category/ciberseguranca/, https://www.igti.com.br/blog/category/cloud-computing/, https://www.igti.com.br/blog/category/cyber-cloud-experience/, ",,1 mês atrás,Infraestrutura como serviço na nuvem,https://www.igti.com.br/blog/infraestrutura-como-servico-na-nuvem/,53 visualizações
